,disaster,id,name,time,label_exists,target_exists,gsd,capture_date,disaster_type,height,width,original_height,original_width,NA,destroyed,major-damage,minor-damage,no-damage,un-classified
0,midwest-flooding,00000225,midwest-flooding_00000225_post_disaster.png,post,True,True,1.2524601,2019-05-30T17:35:04.000Z,flooding,1024,1024,1024,1024,0,0,0,0,1,0
1,hurricane-harvey,00000152,hurricane-harvey_00000152_pre_disaster.png,pre,True,True,2.2015352000000004,2017-02-16T17:11:58.000Z,flooding,1024,1024,1024,1024,5,0,0,0,0,0
2,socal-fire,00000296,socal-fire_00000296_pre_disaster.png,pre,True,True,1.9894955,2018-10-23T18:51:02.000Z,fire,1024,1024,1024,1024,64,0,0,0,0,0
3,hurricane-michael,00000101,hurricane-michael_00000101_post_disaster.png,post,True,True,2.0711906,2018-10-13T16:48:15.000Z,wind,1024,1024,1024,1024,0,3,2,10,6,0
4,palu-tsunami,00000097,palu-tsunami_00000097_pre_disaster.png,pre,True,True,2.0312154,2017-01-24T02:18:34.285Z,tsunami,1024,1024,1024,1024,714,0,0,0,0,0
5,hurricane-matthew,00000312,hurricane-matthew_00000312_post_disaster.png,post,True,True,1.59234964847565,2016-10-10T16:04:56.646Z,wind,1024,1024,1024,1024,0,10,0,0,1,0
6,midwest-flooding,00000041,midwest-flooding_00000041_pre_disaster.png,pre,True,True,2.090686,2019-01-26T17:17:36.000Z,flooding,1024,1024,1024,1024,113,0,0,0,0,0
7,socal-fire,00000373,socal-fire_00000373_pre_disaster.png,pre,True,True,1.9894955,2018-10-23T18:51:02.000Z,fire,1024,1024,1024,1024,0,0,0,0,0,0
8,santa-rosa-wildfire,00000059,santa-rosa-wildfire_00000059_pre_disaster.png,pre,True,True,1.6719055,2017-06-21T19:09:01.000Z,fire,1024,1024,1024,1024,22,0,0,0,0,0
9,midwest-flooding,00000030,midwest-flooding_00000030_pre_disaster.png,pre,True,True,2.090686,2019-01-26T17:17:36.000Z,flooding,1024,1024,1024,1024,3,0,0,0,0,0
10,midwest-flooding,00000351,midwest-flooding_00000351_post_disaster.png,post,True,True,1.3587263,2019-05-30T17:35:22.000Z,flooding,1024,1024,1024,1024,0,0,0,3,0,0
11,hurricane-harvey,00000085,hurricane-harvey_00000085_pre_disaster.png,pre,True,True,2.2015352000000004,2017-02-16T17:11:58.000Z,flooding,1024,1024,1024,1024,20,0,0,0,0,0
12,hurricane-michael,00000313,hurricane-michael_00000313_pre_disaster.png,pre,True,True,2.0664845,2017-11-29T16:28:19.000Z,wind,1024,1024,1024,1024,132,0,0,0,0,0
13,hurricane-florence,00000446,hurricane-florence_00000446_pre_disaster.png,pre,True,True,1.958603,2018-04-06T15:49:36.000Z,flooding,1024,1024,1024,1024,8,0,0,0,0,0
14,hurricane-michael,00000379,hurricane-michael_00000379_post_disaster.png,post,True,True,2.0711906,2018-10-13T16:48:15.000Z,wind,1024,1024,1025,1025,0,0,0,0,0,0
15,hurricane-harvey,00000118,hurricane-harvey_00000118_post_disaster.png,post,True,True,3.024613,2017-08-31T17:38:50.685Z,flooding,1024,1024,1024,1024,0,0,0,0,0,0
16,palu-tsunami,00000083,palu-tsunami_00000083_pre_disaster.png,pre,True,True,2.0312154,2017-01-24T02:18:34.285Z,tsunami,1024,1024,1024,1024,229,0,0,0,0,0
17,hurricane-florence,00000049,hurricane-florence_00000049_post_disaster.png,post,True,True,2.0916247,2018-09-20T16:04:41.000Z,flooding,1024,1024,1024,1024,0,0,3,0,0,0
18,hurricane-florence,00000070,hurricane-florence_00000070_post_disaster.png,post,True,True,2.0916247,2018-09-20T16:04:41.000Z,flooding,1024,1024,1024,1024,0,0,13,1,0,1
